method,threshold,precision,recall,f1,event_precision,event_recall,event_f1,delay,false_alarms_per_1000
URD,1.3560788844267062,0.23513937087204748,0.6703366842189246,0.34815398002734843,0.1481990070772156,0.9245810055865922,0.25545216236858986,1.040281973816717,75.16625686892523
URD,1.4144724014723837,0.24463316820004719,0.6618796872506781,0.357232054428799,0.15354200988467875,0.9217877094972067,0.2632367264703718,1.0666666666666667,70.45220768219498
URD,1.4878366303808888,0.25466032778681347,0.649593106749641,0.36588325169640046,0.15825870082757057,0.9199255121042831,0.27005814898342073,1.1082995951417005,65.54013542577711
URD,1.5818013673154354,0.26492090921175065,0.6360299984043402,0.3740440106976962,0.16904849151093196,0.9143389199255121,0.28534135344660166,1.1537678207739308,60.83708752069616
URD,1.650826300855651,0.2785992217898833,0.6283708313387586,0.38604058425644544,0.17695367637623508,0.9106145251396648,0.29632456660734297,1.187116564417178,56.090034489017974
URD,1.7317636217857753,0.29170140204622963,0.614169459071326,0.39554002671873395,0.1926195135588482,0.9050279329608939,0.31763575956346357,1.2448559670781894,51.40898914723565
URD,1.8502784383941333,0.30428757743723506,0.5956598053295038,0.402805503102239,0.20467219291635266,0.8938547486033519,0.33307733225414315,1.30625,46.94796943843958
URD,1.9508450671274742,0.3216944345976604,0.5792245093346099,0.4136516437809811,0.21602058870838026,0.8798882681564246,0.3468791779427989,1.3396825396825396,42.101904871917576
URD,2.066293485678895,0.3414963362900116,0.5651827030477102,0.4257467395877156,0.2281094099432307,0.8733705772811918,0.3617388411157765,1.4061833688699361,37.56937683240098
URD,2.2403354988623714,0.35794610651389774,0.5383756183181746,0.430000637226789,0.2379812120095782,0.8603351955307262,0.37283174713819667,1.4967532467532467,33.28987827081855
URD,2.4363346283705622,0.377835538752363,0.5102920057443753,0.43418640961238203,0.26389762953639606,0.8277467411545624,0.40020433157898033,1.5691788526434196,28.966374582638878
URD,2.549296775756228,0.41221677487743474,0.49640976543800863,0.4504126248733169,0.29349904397705545,0.8128491620111732,0.4312755254747859,1.6219931271477663,24.400842698174337
